08002	Blacksburg, VA Urbanized Area	U	88542	35430	132632697	571606	      51.210	       0.221	 37.123193	 -80.421067
08380	Bloomington, IN Urbanized Area	U	108657	45637	116026934	51757	      44.798	       0.020	 39.162873	 -86.548361
08407	Bloomington--Normal, IL Urbanized Area	U	132600	54479	127410911	191841	      49.194	       0.074	 40.493927	 -88.978753
08434	Bloomsburg--Berwick, PA Urbanized Area	U	53618	23149	84652608	3134384	      32.685	       1.210	 41.016958	 -76.412130
08785	Boise City, ID Urbanized Area	U	349684	146177	346614209	4186091	     133.828	       1.616	 43.617235	-116.292336
08974	Bonita Springs, FL Urbanized Area	U	310298	209911	484223262	37054774	     186.960	      14.307	 26.210606	 -81.744876
09271	Boston, MA--NH--RI Urbanized Area	U	4181019	1719241	4852227548	201870511	    1873.456	      77.943	 42.373132	 -71.140708
09298	Boulder, CO Urbanized Area	U	114591	51299	84139802	706602	      32.487	       0.273	 40.027135	-105.239050
09379	Bowling Green, KY Urbanized Area	U	78306	32586	117592884	637255	      45.403	       0.246	 36.955691	 -86.439165
09946	Bremerton, WA Urbanized Area	U	198979	85027	353498946	81974047	     136.487	      31.650	 47.617754	-122.626184
10162	Bridgeport--Stamford, CT--NY Urbanized Area	U	923311	367499	1207483169	30692755	     466.212	      11.851	 41.135297	 -73.534005
10351	Bristol--Bristol, TN--VA Urbanized Area	U	69501	32924	165471259	272910	      63.889	       0.105	 36.604532	 -82.152878
10972	Brownsville, TX Urbanized Area	U	217585	66404	211157541	8647684	      81.528	       3.339	 25.966448	 -97.473579
11026	Brunswick, GA Urbanized Area	U	51024	22277	112357237	2074205	      43.381	       0.801	 31.214895	 -81.504818
11350	Buffalo, NY Urbanized Area	U	935906	436020	984015238	14396370	     379.930	       5.558	 42.924930	 -78.823675
11728	Burlington, NC Urbanized Area	U	119911	53132	234209025	2059334	      90.429	       0.795	 36.078968	 -79.408365
11755	Burlington, VT Urbanized Area	U	108740	45774	159947183	2727737	      61.756	       1.053	 44.471732	 -73.151442
12754	Camarillo, CA Urbanized Area	U	71772	28232	56968456	39631	      21.996	       0.015	 34.231343	-119.034717
13375	Canton, OH Urbanized Area	U	279245	125638	431099392	3042433	     166.448	       1.175	 40.827886	 -81.430106
13510	Cape Coral, FL Urbanized Area	U	530290	307598	855498753	106856311	     330.310	      41.257	 26.602515	 -81.842109
13537	Cape Girardeau, MO--IL Urbanized Area	U	52900	23192	90729812	171318	      35.031	       0.066	 37.333123	 -89.580960
13591	Carbondale, IL Urbanized Area	U	67821	32286	126068034	2590552	      48.675	       1.000	 37.748873	 -89.065603
14158	Carson City, NV Urbanized Area	U	58079	24622	59794073	156254	      23.087	       0.060	 39.155541	-119.753121
14185	Cartersville, GA Urbanized Area	U	52477	20826	131056548	294694	      50.601	       0.114	 34.192470	 -84.828245
14401	Casa Grande, AZ Urbanized Area	U	51331	23555	57668369	0	      22.266	       0.000	 32.908121	-111.739572
14482	Casper, WY Urbanized Area	U	64548	28679	78586197	497830	      30.342	       0.192	 42.836277	-106.320225
14752	Cedar Rapids, IA Urbanized Area	U	177844	79099	216136838	1975562	      83.451	       0.763	 41.998597	 -91.663308
15184	Chambersburg, PA Urbanized Area	U	50887	22244	96785729	46082	      37.369	       0.018	 39.935103	 -77.645483
15211	Champaign, IL Urbanized Area	U	145361	63984	121467169	376241	      46.899	       0.145	 40.098548	 -88.247740
15481	Charleston, WV Urbanized Area	U	153199	74528	254369516	18676559	      98.213	       7.211	 38.380422	 -81.691011
15508	Charleston--North Charleston, SC Urbanized Area	U	548404	242594	759769589	29158991	     293.349	      11.258	 32.902255	 -80.015543
15670	Charlotte, NC--SC Urbanized Area	U	1249442	526435	1920454942	91632984	     741.492	      35.380	 35.249654	 -80.815826
15724	Charlottesville, VA Urbanized Area	U	92359	39419	89501576	841379	      34.557	       0.325	 38.057542	 -78.483837
15832	Chattanooga, TN--GA Urbanized Area	U	381112	170310	777338402	19872540	     300.132	       7.673	 35.058647	 -85.211135
16237	Cheyenne, WY Urbanized Area	U	73588	33018	90991601	282336	      35.132	       0.109	 41.141090	-104.806118
